"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.output_1","-101","  37","  57","  94","135","175","212","235","355","134.91","0.0111","0.0000","0.99"
"y.output_2"," -95","  40","  60","  95","140","180","215","235","360","138.22","0.0084","0.0023","0.99"
"y.output_3","   6","  12","  13","  15"," 17"," 20"," 22"," 23"," 30"," 17.55","0.0000","0.0000","1.00"
"y.output_4","-375","-200","-170","-120","-65"," -5"," 45"," 75","255","-64.07","0.7688","0.0154","0.22"
"y.output_5","-380","-200","-170","-120","-65"," -5"," 45"," 75","250","-64.67","0.7689","0.0189","0.21"
"y.output_6"," -14","  -5","  -3","   0","  3","  6","  9"," 10"," 20","  2.96","0.2341","0.0731","0.69"
"y.output_7","-305","-140","-110"," -60","  0"," 55","105","140","320"," -0.78","0.4932","0.0229","0.48"
"y.output_8","-310","-140","-110"," -60"," -5"," 55","105","140","320"," -2.50","0.5015","0.0258","0.47"
"y.output_9"," -15","  -7","  -5","  -3","  1","  4","  6","  8"," 18","  0.52","0.4098","0.0840","0.51"
"y.output_10","-320","-170","-140"," -90","-30"," 30"," 80","110","295","-29.59","0.6243","0.0191","0.36"
"y.output_11","-320","-175","-145"," -90","-30"," 30"," 80","110","295","-30.69","0.6255","0.0236","0.35"
"y.output_12"," -14","  -5","  -3","   0","  3","  6","  8"," 10"," 18","  2.55","0.2499","0.0708","0.68"
