"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"output_1","  37","135","235","134.91"," 0.22","135.1"," 0.22","PA"
"output_2","  40","140","235","138.22"," 0.18","138.4"," 0.18","PA"
"output_3","  12"," 17"," 23"," 17.55"," 0.00"," 17.5"," 0.00","PA"
"output_4","-200","-65"," 75","-64.07","74.64"," 10.6","10.57","SQ"
"output_5","-200","-65"," 75","-64.67","75.22"," 10.6","10.56","SQ"
"output_6","  -5","  3"," 10","  2.96"," 0.76","  3.7"," 0.76","PA"
"output_7","-140","  0","140"," -0.78","34.33"," 33.6","33.56","SQ"
"output_8","-140"," -5","140"," -2.50","35.31"," 32.8","32.81","SQ"
"output_9","  -7","  1","  8","  0.52"," 1.61","  2.1"," 1.61","PA"
"output_10","-170","-30","110","-29.59","51.26"," 21.7","21.67","SQ"
"output_11","-175","-30","110","-30.69","52.08"," 21.4","21.39","SQ"
"output_12","  -5","  3"," 10","  2.55"," 0.83","  3.4"," 0.83","PA"
